Linha 1-10;a;abbiamo;al;alla;alle;andare;attività;autobus;bar;bevo;caffè;casa;cena;compiti;con;controllo;della;di;divertente;dopo;durante;e;esco;famiglia;film;finisco;forte;giornata;guardato;ho;i;il;iniziare;insieme;l;la;lavoro;le;leggera;lunga;mail;mangio;mattina;mi;nel;ogni;panino;parlato;partecipo;pasta;pausa;per;pianifico;po;pomeriggio;pranzo;prendo;preparato;riunioni;sette;sono;sveglio;tornato;un;una;verdure
Linha 11-20;affollato;alzo;ascolto;ceniamo;corro;dal;del;doccia;dormire;faccio;fermata;finestrino;fretta;fuori;guardo;in;leggiamo;letto;libro;lo;lontani;ma;mentre;mia;moglie;musica;paesi;parco;passeggiata;poi;posto;preparo;prima;scelgo;sedere;sogno;spesso;tisana;torno;treno;trovo;veloce;vestiti;vesto;viaggiare;zaino;è;;;;;;;;;;;;;;;;;;;
Linha 21-30;accendo;ancora;arrivo;bambini;che;cielo;colleghi;computer;continuo;documenti;fine;giocano;importante;inizio;lascio;lavorare;momento;non;nuvoloso;parliamo;piove;progetto;rilassarsi;rispondo;ritorno;saluto;scrivania;scrivo;sera;settimana;telefonate;tutti;ufficio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 31-40;aiuto;appena;apro;arancia;aria;beviamo;canto;capitolo;colazione;d;degli;entrare;far;finestra;fresca;guardiamo;leggo;luci;mangiamo;marmellata;metto;mio;notizie;pane;preferito;racconti;risate;spengo;spremuto;succo;tavola;tostato;tv;uccelli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 41-50;accesa;accompagno;ad;articolo;asciugare;aziendale;blog;cucina;da;dello;fino;gira;lavatrice;li;oggi;ordine;panni;podcast;pulisco;scuola;scuolabus;si;sistemo;sole;vestono;vicini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 51-60;acqua;bicchiere;breve;capo;chiamo;collega;discutere;documento;fare;file;insalata;inviamo;nuovo;pezzo;presentazione;proposta;riposo;salviamo;scriviamo;sdraio;spesa;su;supermercato;uscire;vado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 61-70;arrivano;auguri;cantiamo;carta;cassa;cassiere;compleanno;compro;credenze;decoro;divertono;festoni;figlia;formaggio;foto;frigo;frutta;gli;invitati;nelle;pago;palloncini;passo;prodotti;regali;ricordo;scattiamo;sorrisi;tagliamo;tanti;torta;tutta;verdura;via;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 71-80;ai;bacio;belle;chiudo;città;cose;dei;divano;domani;finisce;gita;letta;marito;merenda;occhi;pavimento;penso;piani;piccoli;presto;previsioni;programmiamo;serata;siedo;spazzo;storia;sul;sveglia;tempo;zaini;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 81-90;abiti;all;arriviamo;ascoltiamo;auto;canzoni;carichiamo;ci;circondato;comodi;dormo;escursione;facciamo;fermiamo;giorno;indosso;intorno;lago;libera;mangiare;mattino;montagne;natura;noi;partiamo;piacevole;profondamente;riva;sentiero;strada;viaggio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 91-100;andiamo;appendiamo;buonanotte;c;cuore;diciamo;disegnano;disegni;erba;frigorifero;guardando;mettiamo;migliori;momenti;nuvole;pieno;pietre;preferiti;quello;raccontiamo;rilassiamo;storie;sull;torniamo;tutto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 101-110;abito;altri;anticipo;appunti;cliente;direttore;discutiamo;elegante;finita;idee;incontro;innovative;minuto;molte;nuovi;partecipiamo;pianifichiamo;prendiamo;progetti;qualche;riunione;speciale;strategica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 111-120;aziendali;calendario;commerciale;confermo;correttezza;date;dati;eventi;feedback;finalizzo;mando;organizzo;parlo;partner;prossima;prossimi;report;rivedo;team;telefono;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 121-130;ascoltando;comunicazioni;cucino;freschi;ingredienti;invio;narrativa;programma;rilasso;riunita;tornare;ultime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 131-140;addormento;amico;calda;corsa;energetica;leggeri;luce;mattutina;messaggi;online;pensando;pronto;respiro;rinfrescato;sogni;vicino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 141-150;chiacchierare;creativo;festa;giardino;innaffio;inviti;invito;lavoretto;leggendo;lista;mercato;organizziamo;ospiti;passiamo;piante;preparare;quartiere;rivista;salutare;stagione;visito;weekend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 151-160;commovente;concentro;condividendo;dalla;entra;estero;fatta;fresco;lavorativa;meditazione;pizza;prepariamo;ridendo;sereno;tranquillo;videochiamata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 161-170;borsa;condividiamo;correre;esercizi;futuri;giocare;gustosa;newsletter;palestra;programmo;rinfrescante;stretching;successiva;urgenti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 171-180;cammino;energia;interessante;locale;negozio;nuova;pagina;racconto;sorriso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 181-190;aneddoti;brindiamo;camera;dedico;destinazioni;divertenti;giallo;hobby;lettera;lontano;molto;nuove;ridiamo;romanzo;salute;serale;stelle;viaggi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 191-200;felici;giorni;sereni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 201-210;abbaia;allegri;amici;apparecchiata;ascoltano;attentamente;bambina;bicchieri;cammina;cane;cinema;collana;corre;davanti;disattento;erano;felice;fontana;forse;fragole;gallina;generoso;incontrerò;indossa;infine;intelligente;lavagna;lezione;lunedì;marco;medico;mela;miei;montagna;museo;nell;nervoso;ospedale;panchina;paolo;parlano;permaloso;piatti;pioverà;professore;prossimo;ristorante;rosso;salta;sarà;scarpe;scrivono;spiega;sport;studenti;sulla;tavolo;vacanze;vestito;zuppa;;;;;;
Linha 211-220;accanto;alte;arriva;balcone;biblioteca;blu;calcio;caldi;cameriere;cappotto;cattedrale;centro;chiede;comodo;dessert;entusiasmo;fame;ferma;ferroviaria;freddo;genitori;guanti;indicazioni;indossiamo;interessanti;inverno;lampada;libri;macchina;maglietta;mare;marta;mensole;moderna;municipio;osservano;otto;palma;parcheggiata;parte;passa;piena;porta;prepara;sciarpa;soggiorno;sotto;stanco;stazione;stivali;storico;televisione;turista;veste;;;;;;;;;;;;
Linha 221-230;adesso;affollata;ama;antiche;anziano;architetto;campagna;coltello;curiosa;dipinti;disegna;edifici;eleganti;famosi;formaggi;fotografia;fotografiche;ginnastica;guerra;ha;larghi;lasciato;lavandino;lavora;leggere;macchine;maglione;miele;moderni;mostra;naturale;nevicherà;nonno;nuoto;originali;pantaloni;piazza;pioveva;piscina;pomodori;profonde;qualcuno;racconta;ragazza;ricordi;saggio;scrivere;sorella;sporco;stamattina;statue;studio;suo;timida;turisti;va;variabile;vendono;verde;zucchine;;;;;;
Linha 231-240;altalena;arte;astratte;ballano;bambino;bianca;bicicletta;blocchi;camicia;cantano;cappello;chitarra;colorati;comprato;condimento;cortile;costruisce;cravatta;dipingiamo;dorme;fiume;forme;gatto;gelato;giacca;italiane;legno;lungo;mamma;paesaggi;passeggiamo;poltrona;pronta;ragazzi;rossa;soft;sorride;stirata;suonano;taglia;torre;versa;;;;;;;;;;;;;;;;;;;;;;;;
Linha 241-250;andremo;attori;banco;ben;beve;bottiglia;brilla;calmo;chiacchieroni;chiarezza;curioso;cuscini;domenica;dorata;fatto;fotografare;giovani;gonna;grande;imparare;mangia;morbido;occhiali;parole;penne;picnic;pieni;quaderni;ride;rotonda;salotto;sempre;sento;tappeto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 251-260;alberi;animali;anziane;barca;barche;chiesa;circondata;dolci;fiori;gioca;grigio;isole;lontane;luminosa;mamme;nuotato;palla;passeggiato;pastelli;persone;pioggia;prato;serve;umida;uova;usando;vedono;vino;visitato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 261-270;albero;antico;aprono;arrampica;aula;biscotti;camminato;castello;colora;colorano;dell;due;entrano;fotografato;guarda;iniziano;lava;minerale;nome;odore;panorama;pizze;primavera;profumata;proprio;proteggermi;pulisce;ridono;rock;rovine;sbocciano;scrive;tra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 271-280;animato;ascolta;bevono;biologica;cartone;chiacchierano;coniugato;corrono;diario;giornale;grammatica;gridano;importanti;insegna;integrale;legge;leggono;maestra;mappe;nevicare;pallone;passeggeri;porte;puntuale;rumorosamente;scendono;sembra;solo;stia;testo;tira;tranquillità;tè;vento;verbi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 281-290;attraversato;comincia;controlla;distribuisce;fotocamera;fotocopie;giocattolo;italiano;jeans;lavanda;lentamente;ordinata;passeggia;perché;perso;piange;preparano;preso;professoressa;profuma;pulita;ragazzo;ripassiamo;saluta;silenzio;sportiva;studiamo;valigia;vocabolario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 291-300;altalene;aperto;arrivare;carte;causa;fiorito;personale;poesia;portico;postino;prende;quando;ritardo;sabbia;scivoli;spazioso;trascorriamo;vede;vende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 301-310;architettura;curiosamente;fiaba;figli;fotografano;francia;fresche;illuminata;locali;osserva;papà;riceve;sala;storica;trovano;visitano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 311-320;aperte;cade;cappuccino;composto;decorano;emozionante;fanno;finestre;giovinezza;incontrano;luca;ore;pirata;sente;sottile;studiano;sua;sugo;zucchero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 321-330;amiche;apparecchiano;banane;binario;centrale;cereali;compra;copiano;destinazione;disegno;forti;latte;mazzo;napoli;nasconde;pennarelli;quaderno;rumori;spettacolo;suoni;tre;trucca;uno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 331-340;acceso;accompagnano;aiutano;asciugamano;autunno;bagno;cadono;camino;coniglio;copre;foglie;lavato;liquido;margherite;messo;nonni;passione;piccolo;premurosi;pulito;raccontano;romanziere;sapone;scatola;soffia;specchio;tramonto;viole;visiteremo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 341-350;caldo;calma;canta;canzone;cascata;corregge;dolce;farfalle;fetta;grigliate;insegnante;lampi;limpido;mangiato;palazzi;pesto;profumato;scattano;servito;temporale;tuoni;visto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 351-360;acquerelli;alti;amore;carne;colorate;colori;cotta;dipingono;ed;farò;forno;gente;italiana;legna;matematica;milano;nei;olio;oliva;panchine;perfetto;poche;risotto;roma;sabato;scienze;strade;trovato;viva;vivaci;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 361-370;albergo;assistito;avventure;bagnate;burro;camere;camminano;dà;fantastici;fatti;gentile;impegni;mancano;meravigliosa;ombrello;orizzonte;parla;personaggi;pomodoro;portano;ravioli;salsa;scolastiche;spaziose;suona;teatrale;vista;zia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 371-380;abbigliamento;bella;caffetterie;cartoleria;colonna;coperta;coprono;domande;fa;interesse;mano;morbida;negozi;piovere;posta;rispondono;romantico;rossi;saltano;scritto;scurisce;silenzioso;sonora;spedita;tempera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 381-390;api;asciuga;cambia;camion;coccinelle;corn;festeggiato;giochi;laboriose;pensieri;pettina;pop;spiaggia;stato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 391-400;accogliente;ambiente;cassetto;decorata;dietro;forbici;gomme;guardano;guida;offre;radio;siedono;soffice;tipici;tramonta;trenino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 401-410;amica;bene;chiude;ciotola;cuoco;fantastico;fumetto;gesso;invitarla;mescola;nella;prendono;telefona;terrazza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 411-420;aereo;aeroporto;decolla;internazionale;nove;padrone;rosse;scalda;segue;stira;viso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 421-430;cerca;comodino;cuffie;dipinge;libreria;monta;muove;paesaggio;tela;tende;tornano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 431-440;africa;azzurro;cibo;mobile;nascondino;scava;sistema;stanza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 441-450;cartella;castelli;cioccolato;conchiglie;costruiscono;fragola;gioia;raccolgono;siede;stellato;tram;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 451-460;allegria;attraversa;brevi;colline;esercita;illustrano;melodia;passando;pianoforte;pittoreschi;prova;raccontando;romanzi;sdraia;spezie;verdi;verifica;villaggi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 461-470;aggiusta;attraverso;azione;coda;colpi;concentrazione;davanzale;effetti;esame;finale;girasoli;illumina;nipote;pazienza;rose;scena;speciali;stende;toast;tulipani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 471-480;bici;circostanti;cono;coperte;creano;crema;detersivo;disponibili;fiabe;gocciola;innevato;mette;neve;nocciole;pagelle;pedala;prestito;pulizia;pupazzi;riflette;sale;scioglie;trimestre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 481-490;accende;aroma;crostata;esce;favola;gomitolo;incontrare;lanterna;lasagne;nipoti;nonna;notturno;posate;pozzanghere;riempie;servita;spasso;sulle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 491-500;arcobaleno;attenzione;chiusa;cuoce;errori;estive;figlio;lascia;pallavolo;pianta;raffreddare;rilassante;sorge;spruzza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 501-510;abbia;allora;anche;ascoltarmi;avete;bisogno;cambiato;chiavi;credi;davvero;delle;detto;devi;dove;entro;esperienze;finire;giudicare;hai;hanno;io;lei;lui;madre;male;molta;mostri;niente;possa;possiamo;pronti;questa;sbagliato;se;sei;senza;siete;signore;so;stasera;successo;tante;tu;verità;vita;vuole;;;;;;;;;;;;;;;;;;;;
Linha 511-520;accomodi;agire;altro;attesa;cancellata;capisca;certo;chi;cosa;così;cui;deciso;dobbiamo;dovremmo;frase;grazie;intendevi;lì;me;meglio;nessuna;nostra;partire;posso;prego;preoccuparci;puoi;pure;quanto;quella;ragione;signora;situazione;spiegarmi;spostato;stata;sto;te;venire;voglio;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 521-530;accettare;ammettere;anni;colpa;come;devo;dispiace;disponibile;ehi;farà;genere;idea;malinteso;ne;nessuno;oh;padre;partirai;penserà;quanti;questo;risposta;sapere;sbaglio;scorsa;stai;trentacinque;tuo;vuoi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 531-540;altra;altre;ascoltare;certa;ciao;conosciuto;credo;decisione;eri;gentili;giusto;incredibile;mai;modo;nulla;opinioni;paola;parleremo;piovendo;presento;rimanere;sentito;sia;siamo;sistemare;spetta;sta;ti;trovarci;trovare;tutte;venuto;voi;volta;vorrei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linha 541-550;accettabili;anno;attento;attraversi;chiaro;comportamenti;dai;ecco;essere;firmare;molti;partito;progressi;qualcosa;quel;quest;relax;risolverà;spiegato;sì;tali;vostro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
